id,generate id,RFID,generalInfo.name,generalInfo.discipline,generalInfo.nfdiConsortia,generalInfo.domain,generalInfo.altName,generalInfo.provider,generalInfo.RDItype,generalInfo.description,generalInfo.contactName,generalInfo.contactEmail,generalInfo.url,generalInfo.re3dataIdentifier,generalInfo.datasetsSearchCollectionId,generalInfo.Type_of_resources_present ,generalInfo.License,generalInfo.license_source_link,generalInfo.Type_of_access_rights ,generalInfo.NFDI_link,lawAndEthics.dataProvider,lawAndEthics.instituteType,lawAndEthics.complianceMeasures,lawAndEthics.dataTypes,lawAndEthics.applicableRegulations,lawAndEthics.accessRights,lawAndEthics.embargoPeriod,technicalInfo.metadataStandards.standards,technicalInfo.metadataStandards.interoperabilityLevel,technicalInfo.accessProtocols.supportedProtocols,technicalInfo.accessProtocols.authenticationMethods,technicalInfo.accessProtocols.persistentIdentifiers,technicalInfo.maintenance.softwareLicense,technicalInfo.maintenance.sustainabilityPlan,technicalInfo.maintenance.supportServices,technicalInfo.maintenance.updateFrequency,FAIRness.findability.persistentIdentifier,FAIRness.findability.richMetadata,FAIRness.findability.indexedInSearchEngines,FAIRness.findability.metadataSchema,FAIRness.findability.metadataPersistence,FAIRness.accessibility.retrievalProtocol,FAIRness.accessibility.authenticationRequired,FAIRness.accessibility.authenticationType,FAIRness.accessibility.metadataAlwaysAvailable,FAIRness.accessibility.dataAvailability,FAIRness.interoperability.knowledgeRepresentation,FAIRness.interoperability.vocabulariesUsed,FAIRness.interoperability.qualifiedReferences,FAIRness.interoperability.apiAvailability,FAIRness.interoperability.dataFormats,FAIRness.reusability.licenseClarity,FAIRness.reusability.provenanceInfo,FAIRness.reusability.communityStandards,FAIRness.reusability.documentationQuality,FAIRness.reusability.citationGuidelines,FAIRness.assessmentDate,FAIRness.assessmentMethod,FAIRness.overallFAIRScore,agriculturalContext.researchDomains,agriculturalContext.cropTypes,agriculturalContext.geographicCoverage,agriculturalContext.temporalCoverage.startYear,agriculturalContext.temporalCoverage.endYear,agriculturalContext.temporalCoverage.temporalResolution
11,RFId011202606012,RFId011202604272,Edaphobase,Life Sciences,FAIRagro,Life Sciences,,Senckenberg Museum of Natural History Görlitz (SMNG),Data Portal,"Edaphobase is an integrated database that compiles and provides access to soil zoological and ecological data, including species occurrences, taxonomy, and environmental parameters from diverse research sources.",Andrey Zaytsev,"info@edaphobase.org, andrey.zaytsev@senckenberg.de",https://portal.edaphobase.org/,r3d100014734,,"datasets on soil fauna occurrence, taxonomy, abundance, and environmental parameters with spatial metadata.","Custom “Terms of Use”, data available for non-commercial scientific purposes; attribution required; redistribution and commercial use only with provider’s approval.",https://portal.edaphobase.org/resource/docs/data_policy.pdf,unrestricted,https://zenodo.org/records/11144471,Senckenberg Museum of Natural History Görlitz (SMNG),,,,,unrestricted,,,,,,,,,,,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
12,RFId012202606012,RFId012202604272,Base-search,Life Sciences,FAIRagro,Literature,,Bielefeld University Library.,Data Portal,BASE is one of the world's most voluminous search engines especially for academic web resources.,,https://www.base-search.net/about/en/contact.php,https://www.base-search.net/,,,"all kinds of academically relevant resources – journals, institutional repositories, digital collections etc.",Varius - Depending on the data provider,https://www.base-search.net/Browse/Licence?list2=CC-%2A&refid=dcbroen,unrestricted,https://zenodo.org/records/11144471,Bielefeld University Library.,,,,,unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,RFId013202606012,RFId013202604272,Dryad,Life Sciences,FAIRagro,Ecology and Biodiversity of Plants and Ecosystems,,Dryad is a non profit member organisation developed with the support from California Digital Library and intital funding from U.S. National Science Foundation ,Repository,Dryad is an open data publishing platform and a community committed to the open availability and routine re-use of all research data.,,hello@datadryad.org,https://datadryad.org/stash,r3d100000044,,"dataset, software and text",CC0,https://datadryad.org/help/requirements/files#searching,partially restricted,https://zenodo.org/records/11144471,Dryad is a non profit member organisation developed with the support from California Digital Library and intital funding from U.S. National Science Foundation ,,,,,partially restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,RFId014202606012,RFId014202604272,OpenAgrar,Life Sciences,FAIRagro,Agricultural Sciences,,Bundesanstalt für Landwirtschaft und Ernährung and Bundesministerium für Ernährung und Landwirtschaft,Repository,"Open Agrar is the publication server of six BMEL research institutes: DBFZ, JKI, FLI, MRI, Thünen Institut and BfR, providing access to their research outputs.",,https://www.openagrar.de/content/below/contact.xml,https://www.openagrar.de/content/index.xml?lang=en,r3d100012467,openagrar,"theses, reports, conference proceedings, journal articles, books, institutional documents, research datasets, videos and interviews.","Various licenses, including CC-BY or ""All rights reserved""",https://www.re3data.org/repository/r3d100012467,partially restricted,https://zenodo.org/records/11144471,Bundesanstalt für Landwirtschaft und Ernährung and Bundesministerium für Ernährung und Landwirtschaft,,,,,partially restricted,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,,,,,,,,
15,RFId015202606012,RFId015202604272,German genebank of vine (UC NICEPLANTS),Life Sciences,FAIRagro,uncategorized,,"Julius Kühn-Institut Bundesforschungsinstitut für Kulturpflanzen, Institut für Rebenzüchtung Geilweilerhof",Infrastructure, The German Vine Gene Bank consists of vine-preserving facilities and is therefore an essential instrument for securing vine genetic resources in Germany.,,zr@julius-kuehn.de,https://www.deutsche-genbank-reben.julius-kuehn.de/,r3d100013220,,"phenotypic, genotypic and passport data of grapevine germplasm","Access is provided under the Standard Material Transfer Agreement (SMTA) in accordance with the International Treaty on Plant Genetic Resources, ensuring fair use and benefit-sharing.",https://www.deutsche-genbank-reben.julius-kuehn.de/index.php?r=info%2Fzugangsbed,partially restricted,https://zenodo.org/records/11144471,"Julius Kühn-Institut Bundesforschungsinstitut für Kulturpflanzen, Institut für Rebenzüchtung Geilweilerhof",,,,,partially restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,RFId016202606012,RFId016202604272,TERENO,Life Sciences,FAIRagro,Environmental sciences,,"TERENO Coordination Board, which is a group of four coordinators from the research centres FZJ, UFZ, KIT and GFZ.",Data Portal,Data from four landscape observatories in Germany as well as weather radar stations and data from other participants,,h.bogena@fz-juelich.de,https://ddp.tereno.net/ddp/,r3d100011471,,"Data sets, especially from the four TERENO observatories (see also https://www.tereno.net/joomla4/index.php/observatories)","TERENO-specific terms: Non-commercial use, citation required, derivative works allowed, results sharing encouraged.",https://ddp.tereno.net/ddp/docs/TERENO-Data%20Policy%20V2.0.pdf,partially restricted,https://zenodo.org/records/11144471,"TERENO Coordination Board, which is a group of four coordinators from the research centres FZJ, UFZ, KIT and GFZ.",,,,,partially restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,RFId017202606012,RFId017202604272,Climate Data Center,Life Sciences,FAIRagro,Environmental sciences,,Deutscher Wetterdienst,Data Portal,"DWD data portal for daily updated (growing) time series for weather data (part of the Open Data Server)
",,klima.vertrieb@dwd.de,https://cdc.dwd.de/portal/,r3d100010621,,Datasets,"Creative Commons BY 4.0 - Licence ""CC BY 4.0""",https://opendata.dwd.de/climate_environment/CDC/Terms_of_use.pdf,partially restricted,https://zenodo.org/records/11144471,Deutscher Wetterdienst,,,,,partially restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,RFId018202606012,RFId018202604272,Open Data Server,Life Sciences,FAIRagro,Environmental sciences,,Deutscher Wetterdienst,Data Portal,DWD data portal for daily updated (growing) time series for weather data ,,"kundenservice@dwd.de
",https://opendata.dwd.de/,,,Datasets,"Creative Commons BY 4.0 - Licence ""CC BY 4.0""",https://www.dwd.de/EN/service/copyright/copyright_node.html.,partially restricted,https://zenodo.org/records/11144471,Deutscher Wetterdienst,,,,,partially restricted,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
19,RFId019202606012,RFId019202604272,Deutsche Genbank Obst,Life Sciences,FAIRagro,Horticulture,,Julius Kühn-Institut Bundesforschungsinstitut für Kulturpflanzen,Infrastructure,The Deutsche Genbank Obst consists of fruit-specific conservation networks and is therefore an essential tool for the conservation of fruit genetic resources in Germany.,,monika.hoefer@julius-kuehn.de,https://www.deutsche-genbank-obst.de/,r3d100012467,,"Information, Images  and data on Fruit genetic resources ",All rights reserved. Use permitted for scientific and non-commercial purposes. ,deutsche-genbank-obst.de/site/impressum,partially restricted,https://zenodo.org/records/11144471,Julius Kühn-Institut Bundesforschungsinstitut für Kulturpflanzen,,,,,partially restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,RFId020202606012,RFId020202604272,Plant Biotechnology Information Primary Database,Life Sciences,FAIRagro,"Plant Sciences, Plant Genetics and Genomics",PlabiPD,Forschungszentrum Jülich-Institute IBG-4 (Bioinformatics),Repository,"PlaBiPD is a central portal containing plant genomic, transcriptomic, and ontology data for major crop plants in Germany.",,r.schwacke@fz-juelich.de; b.usadel@fz-juelich.de; m.bolger@fz-juelich.de,https://www.plabipd.de,r3d100014744,,Plant genome assemblies and sequences; gene and protein annotations; transcriptome data; ontology classifications,Creative Commons Zero v1.0 Universal,https://www.re3data.org/repository/r3d100014744,partially restricted,https://zenodo.org/records/11144471,Forschungszentrum Jülich-Institute IBG-4 (Bioinformatics),,,,,partially restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,RFId021202606012,RFId021202604272,OrganicXseeds (UC ORGSEED),Life Sciences,FAIRagro,Plant Sciences,,Forschungsinstitut für biologischen Landbau,Online database,OrganicXseeds is a national database listing currently available organically propagated varieties of seed and planting material,,"kaja.gutzen@fibl.org , matthias.klaiss@fibl.org",https://www.organicxseeds.de/,,,"Information and data – i.e. database entries on available organic seeds/propagating material (variety offers, supplier info, regulatory status)",All rights reserved. Use permitted for scientific and non-commercial purposes. ,-,partially restricted,https://zenodo.org/records/11144471,Forschungsinstitut für biologischen Landbau,,,,,partially restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,RFId022202606012,RFId022202604272,PhenoRoam,Life Sciences,FAIRagro,"Plant Sciences, Agricultural Sciences, Robotics",,PhenoRob (Cluster of Excellence at University of Bonn),Repository,"PhenoRoam is the data catalog of the PhenoRob excellence cluster, facilitating the sharing of geographically referenced research data",,phenoroamsupport@igg.uni-bonn.de,https://phenoroam.phenorob.de/,,,Datasets,Various,-,partially restricted,https://zenodo.org/records/11144471,PhenoRob (Cluster of Excellence at University of Bonn),,,,,partially restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,RFId023202606012,RFId023202604272,FarmPheno,Life Sciences,"NFDI4Biodiversity, FAIRagro","Agricultural Sciences, Animal Breeding, Animal Husbandry",,"Leibniz Institute for Farm Animal Biology (FBN), Dummerstorf",Repository,"FarmPheno is a genotype–phenotype database for farm animals (cattle, pigs) in the context of performance, health, and welfare traits",,  ,farmpheno.fbn-dummerstorf.de,,,Datasets,-,-,partially restricted,https://zenodo.org/records/11144471,"Leibniz Institute for Farm Animal Biology (FBN), Dummerstorf",,,,,partially restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,RFId024202606012,RFId024202604272,DWD Open Data Server,Life Sciences,FAIRagro,Environmental sciences,,German Weather Service,Data Portal,German Weather Service open portal for weather and climate data (spatial and time-series),,info@dwd.de,https://www.dwd.de/opendata,,,Datasets,Creative Commons license BY 4.0,https://www.dwd.de/DE/service/rechtliche_hinweise/rechtliche_hinweise.html?nn=16102&lsbId=625220 ,unrestricted,https://FAIRagro.net/en/services/search-hub/our-research-data-infrastructure/,German Weather Service,,,,,unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,RFId025202606012,RFId025202604272,The European Nucleotide Archive (ENA),Life Sciences,"DATAPLANT, NFDI4Microbiota, NFDI4Biodiversity ",Life Sciences,,European Bioinformatics Institute,Repository,A comprehensive open archive of nucleotide sequence data (DNA/RNA sequences) and associated metadata,,https://www.ebi.ac.uk/ena/browser/support,https://www.ebi.ac.uk/ena/browser/home,r3d100010527,,Nucleotide sequence data,CC0,https://www.ebi.ac.uk/licencing/,unrestricted,https://www.nfdi4biodiversity.org/en/datenzentren/#:~:text=Image%3A%202,European Bioinformatics Institute,,,,,unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,RFId026202606012,RFId026202604272,JKI Data Cube,Life Sciences,FAIRagro,"Earth Sciences, Agricultural Sciences",,Julius Kühn-Institut (JKI),Repository,JKI Data Cube stores and provides multi-dimensional time series of gridded geodata,,"florian.beyer@julius-kuehn.de , markus.moeller@julius-kuehn.de",https://sf.julius-kuehn.de/mapviewer,,,Datasets,MIT License,https://github.com/florianbeyer/JKIDataCubeDemo/blob/main/LICENSE,unrestricted,https://FAIRagro.net/en/services/search-hub/our-research-data-infrastructure/,Julius Kühn-Institut (JKI),,,,,unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,RFId027202606012,RFId027202604272,Bodenzustandserhebung Landwirtschaft (BZE-LW),Life Sciences,FAIRagro,uncategorized,National Agricultural Soil Inventory (BZE-LW),Thünen Institute,Infrastructure,BZE-LW is a consistent and representative inventory of chemical and physical soil properties in the top 100 cm in agricultural soils.,,christopher.poeplau@thuenen.de,https://thuenen-institut.maps.arcgis.com/apps/AttachmentViewer/index.html?appid=2de0e7ff798140a2aa1860f8b64efcbe,,,Soil data ,Datenlizenz Deutschland – Namensnennung 2.0,https://www.landwirtschaftsdaten.de/,unrestricted,https://FAIRagro.net/en/services/search-hub/our-research-data-infrastructure/,Thünen Institute,,,,,unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,RFId028202606012,RFId028202604272,Bodenzustandserhebung im Wald,Life Sciences,FAIRagro,uncategorized,National Forest Soil Inventory (BZE Wald),Thünen Institute,Infrastructure,"BZE Wald focuses on status and changes of soil and forests condition, impacts of environmental factors on soil and crown condition like atmospheric deposition, climate, growth, vegetation, tree nutrition and biodiversity, and sustainable forest management.",,"nicole.wellbrock@thuenen.de , erik.grueneberg@thuenen.de",https://blumwald.thuenen.de/bze/,,,Geospatial survey data and soil profile data,-,-,unrestricted,https://FAIRagro.net/en/services/search-hub/our-research-data-infrastructure/,Thünen Institute,,,,,unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,RFId029202606012,RFId029202604272,SRADI ,Life Sciences,FAIRagro,uncategorized,Smart Rural Areas Data Infrastructure,Technical University of Munich (TUM) – Hans Eisenmann-Forum für Agrarwissenschaften (HEF),Infrastructure,SRADI (Smart Rural Areas Data Infrastructure) of TUM is an interdisciplinary data platform for the comprehensive structuring and sharing of research data in the field of life sciences.,,david.gackstetter@tum.de,https://www.hef.tum.de/hef/service/smart-rural-areas-data-infrastructure/,,,Datasets,-,-,partially restricted,https://FAIRagro.net/en/services/search-hub/our-research-data-infrastructure/,Technical University of Munich (TUM) – Hans Eisenmann-Forum für Agrarwissenschaften (HEF),,,,,partially restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,RFId030202606012,RFId030202604272,Biological Collection Access Service for Europe,Life Sciences,NFDI4Biodiversity,"Life Sciences, Plant Sciences",BioCASe,Freie Universität Berlin,Repository,"The BGBM is a major biodiversity research center housing ~3.5 million herbarium specimens, extensive living plant collections, and a large botanical library. As an NFDI4Biodiversity data center, BGBM focuses on botanical collection and observation data, and on taxon-level data management covering the entire taxonomic workflow in the field of botany",,support@biocase.org,https://www.biocase.org/,r3d100011343,,"Botanical specimen records (herbarium data with images), botanical observation data (field records), taxonomic and systematic data (floras, monographs, nomenclature), and related research datasets",Open data under Creative Commons licenses (e.g. CC BY 4.0 or CC0) as per GBIF publishing policies,https://www.gbif.org/terms,unrestricted,https://kb.gfbio.org/display/KB/GFBio+Data+Centers,Freie Universität Berlin,,,,,unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,RFId031202606012,RFId031202604272,European Soil Data Centre ,Life Sciences,FAIRagro,Soil Sciences,ESDAC,European Commission – Joint Research Centre (JRC),Data portal ,"The European Soil Data Centre is the single reference point for all relevant soil data and information at European level. It contains a range of resources organized in various forms (datasets, applications/services, maps, documents, events, projects, external links)",ESDAC; European Soil Data Centre Portal,ec-esdac@ec.europa.eu,https://esdac.jrc.ec.europa.eu/,r3d100011752,,"oil datasets, web services/applications, maps, documents, events, projects, and external links","Creative Commons Attribution 4.0 International (CC BY 4.0) for data (with certain components, such as generated HTML report files, under a CC BY-NC-ND 4.0 license)",https://commission.europa.eu/legal-notice_en,unrestricted,,European Commission – Joint Research Centre (JRC),,,,,unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,RFId032202606012,RFId032202604272,Thünen Institute Scientific Data Repository,Life Sciences,FAIRagro,Soil Sciences,TISDAR,Johann Heinrich von Thünen-Institut ,Infrastructure,The Thünen Institute Scientific Data Repository (TISDAR) is used to provide a FAIR data service for researchers inside the institute. It is based on the OSGeo funded OpenSource project GeoNode.,Britta Timmermann,opendata@thuenen.de,https://dateno.io/registry/catalog/temp00002724/,,,"Primarily geospatial research datasets (vector and raster data layers such as maps, GIS shapefiles, remote-sensing images) and related supporting files (tabular data, scripts, documents). The repository manages both raw and processed spatial data (e.g. land-use data, monitoring data) and metadata for these resources.",Creative Commons Attribution 4.0 (CC BY 4.0) for public release,https://dateno.io/registry/catalog/temp00002724/,restricted,   https://FAIRagro.net/wp-content/uploads/2023/10/LOI_FAIRagro_2021.pdf,Johann Heinrich von Thünen-Institut ,,,,,restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
